,index,chronicle,hover,raw_location,belong_date,true_place,address,geonames_id,lat,lng,country,chronicle_loc,chronicle_loc_bin
0,#facs_92_r1l32,1796_Purm_Louw_05,"om daar te helpen besoingneeren en resolvee¬<br>ren, Wegens het geene in deze tijds omstandig¬<br>heijd, ten dienste van Onze provintie en het<br>Vaderland Noodzaekelijk was; Waarop uijt,<br>de Representanten Menger en Suidema<br>na <b>'s  Hage</b> werden afgevaardigt; om aldaar<br>Wegens onze Stad Cessie te nemen, Suidema<br>daar een Week geweest zijnde, verzogt zijn ra¬<br>pel, en toen werd Louwen, als Representant<br>in Holl: Vergaeder: afgezonden in den Ouder¬<br>dom van 73 Jaaren, de welke van 1 Febr:  tot",'s  Hage,1795-01-27,Den Haag,The Hague,2747373.0,52.07667,4.29861,Netherlands,Purmerend,False
1,#facs_14_line_17,1795_Mege_Loef,"<br><br><br>jan.4<br><br>de franschen naer een hervatde onderneeminge een weinig <b>beneden Bommel de Wael gepasseerd </b>over het ijs, en post gevat, hebbende, zo men verneemt, wel 5 à 600 Boeren, de wapenen opgenomen hebbende, krijgsgevangen naer <b>'s Bosch</b> gevoert<br><br>7 dito<br>de franschen in<b> Thiel</b> getrokken.<br><br>8 dito",'s Bosch,1795-01-04,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
2,#facs_19_line_13,1795_Mege_Loef,"<br><b>Den Maesdijk tot Lith </b>op 5 plaetsen doorgebroken als ook aen <b>den Alphenschen molen </b>zijnde den molen mede weggenomen.<br><br>14 dito<br><br>J. Bungerers en G.v.Enderen als gecommitteerdens en authoriseerdens naer <b>'s Bosch</b> gegaen met een Document van de Magistraet alhier, zijnde een Declaratie van voorzeide voorval van dato 11 dito en teffens een supplique over desselfs beslissing aen de Administratie Centrael aldaer.<br><br>dito<br><br>s'avonds Fr.Versterren overleden.<br>",'s Bosch,1795-02-14,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
3,#facs_21_line_1,1795_Mege_Loef,"20 dito<br><br>nogal dezelve wind en vorst, zijnde daerbij verzeld van sneeuw.<br><br>21 dito<br>de wind een weinig verzagd doch<b> de Maas</b> voor de 2den keer gaen zitten, zijnde deeze dag Bungeners en dags te vooren G.v.Enderen t'huijs gekomen van<b> 's Bosch,</b> dog weinig met zijne Commissie gevoorderd eensdeels wegens het hooge water en quaed weder, waerdoor bijna den heelen<b> 's Bosch </b>geinundeerd was en ten anderen wijl de Leden van de Administratie alle uytgenomen drie uyt waeren en ten 3de wijl het een buijtenlandsche zaek was.<br><br>25 dito<br><br>P.v.de Coolwijk, C. Brasssard met den voorzeiden franschen officier af Adjudant, bij van Niel gelogeerd zijnde, na <b>'s Bosch </b>gegaen, waerschijnlijk om zig aen de Administratie Centraal aldaer te adresseeren wegens haere zaek.<br>",'s Bosch,1795-02-20,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
4,#facs_21_line_5,1795_Mege_Loef,"21 dito<br>de wind een weinig verzagd doch<b> de Maas</b> voor de 2den keer gaen zitten, zijnde deeze dag Bungeners en dags te vooren G.v.Enderen t'huijs gekomen van<b> 's Bosch,</b> dog weinig met zijne Commissie gevoorderd eensdeels wegens het hooge water en quaed weder, waerdoor bijna den heelen<b> 's Bosch </b>geinundeerd was en ten anderen wijl de Leden van de Administratie alle uytgenomen drie uyt waeren en ten 3de wijl het een buijtenlandsche zaek was.<br><br>25 dito<br><br>P.v.de Coolwijk, C. Brasssard met den voorzeiden franschen officier af Adjudant, bij van Niel gelogeerd zijnde, na <b>'s Bosch </b>gegaen, waerschijnlijk om zig aen de Administratie Centraal aldaer te adresseeren wegens haere zaek.<br><br>26 dito<br><br>J. Bungeners en G.v.Enderen wederom na <b>'s Bosch</b> gegaen met een document van<b> Megen </b>aen de Administratie Centraal aldaer als dienende tot meerder verklaering van voorzeide zaek van 14 dito, en nog met een dito document om uijtspraek of onderrigting over de bevoegdheid van de Administratie tot <b>Grave </b>ten opzigte om aen <b>Megen</b> ordres en aenschrijvingen toe te zenden.<br>",'s Bosch,1795-02-25,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
5,#facs_22_line_10,1795_Mege_Loef,<br>Zondag tot <b>Ravenstein </b>den Vrijheids Boom geplant.<br><br>dito<br><br>J. Looman met evengemeld Adres na <b>'s Bosch </b>vertrokken.<br><br>dito<br><br>In de Nagt de drie voorzeiden van 25 passeerde van <b>'s Bosch </b>geretourneerd.<br>,'s Bosch,1795-03-01,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
6,#facs_22_line_14,1795_Mege_Loef,<br>J. Looman met evengemeld Adres na <b>'s Bosch </b>vertrokken.<br><br>dito<br><br>In de Nagt de drie voorzeiden van 25 passeerde van <b>'s Bosch </b>geretourneerd.<br><br>2 dito<br><br>Drie dito Adressen van de Dorpen na <b>'s Bosch</b> gezonden hebbende niemand derzelve geweigerd als tot <b>Naren</b> Nicol.v.Xanten en tot <b>Macharen </b>Ruth v.d.Heuvel.<br>,'s Bosch,1795-03-01,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
7,#facs_23_line_2,1795_Mege_Loef,"<br>Drie dito Adressen van de Dorpen na <b>'s Bosch</b> gezonden hebbende niemand derzelve geweigerd als tot <b>Naren</b> Nicol.v.Xanten en tot <b>Macharen </b>Ruth v.d.Heuvel.<br><br>dito<br><br>Bungeners en v.Enderen van <b>'s Bosch </b>geretourneerd, hebbende de voorzeide Adressen, zonder gepresenteerd te zijn, weder medegebragt beneffens nog twee Brieven, een aen de fransche Commandat à <b>Grave </b>en d'ander aen den Drossard en Leden der Municipaliteit tot <b>Megen</b>, zijnde in de laetste ingesloten eene publicatie, met ordres om dezelve te doen publiceeren en affigeeren, zijnde aen den Commandant à <b>Grave </b>geordonneerd om tot verzeekering der rust en veiligheid der Inwoonders van<b> Megen</b> bij provisie eenige manschappen of eene gewapende macht ter Dispositie van de Municipaliteit van<b> Megen</b> te zenden om alder ingequartiert te worden en te blijven tot tijd en wijl de noodige deliberatien ter beslissing der zaek van <b>Megen</b> tot <b>'s Bosch </b>zullen genomen zijn.<br><br>dito<br><br>P. Tijssen oorvijgen gehad van W. Hoomoet en R. Biedijkx.<br>",'s Bosch,1795-03-02,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
8,#facs_24_line_2,1795_Mege_Loef,"<br>Bungeners en v. Enderen geretourneerd van <b>Grave </b>met rapport als dat de Commandant aldaer geen Manschappen konde afzenden tenzij met ordre van zijn Generael en ten anderen omdat er thans weinig Trouppes in <b>Grave </b>waeren.<br><br>5 dito<br><br>d'Heer Drossard met Bungeners en v.Enderen na<b> 's Bosch</b> gegaen zonder voorzeide publicatie afgekondigd te hebben, mede nemende voorzeide Declaratien van <b>Megen </b>en drie Dorpen beneffens nog een Adres van de Magistraet alhier aen de Administratie Centraal aldaer: zijnde dienzelven dag, dog vroeger, ook na<b> 's Bosch </b>gegaen J. Kockx, P.van d.Coolwijk en C. Brassard.<br><br>6 dito<br><br>Ik vergezeld met M.v.Veen s'namiddags na <b>Haren</b> gegaen en aldaer <b>eenige Landerijen van de wed.Gijsbert de Lange</b> en<b> 't klooster</b> aldaer verpagt.<br>",'s Bosch,1795-03-05,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
9,#facs_24_line_20,1795_Mege_Loef,"<br>Uyt A.de Rooy verstaen de gronden en Motiven, waerom de Clubisten alhier niet voor d'Heer Drossard, maer veel eerder tegen denzelven onder hun te teekenen goed gevonden hebben, als zijnde de volgende: Dat <b>het Graefschap Megen</b> - dependeerende van de souverainitijt van een Duitsche Graeff, welke altijd zijne residentie heeft gehad en nog heeft in <b>Duytsland </b>en welke dierhalven het bestier en welzijn van zijne onderdaenen, bijzonder ten opzigte van de handhaeving der Justitie, geensints na behooren heeft behartigd - nu reeds circa 25 jaeren is geregeerd geweest door een Drossard, welke ook een Duytscher zijnde als een Favoriet enLieveling van gemelde Graef, bloot alleen volgens deszelfs goedving daer toe is aengesteld, en alzo de onderdaenen zonder daer eenigzints in gekend te zijn, gelijk als opgedrongen is, en zulks niet alleen in qualitijt als Drossard, maer teffens als Landsrechter en Rentmeester en Scholtus - Dat dienvolgens deeze Drossard, om niet in disgratie en ongunst van gemelde Graeff te geraeken, an alzo van 't genot van voorzeide officien verstoken te worden, het belang van zijn Graaff, gelijk natuurlijk is, altijd meer als dat van zijne Gemeentens heeft ter harte genomen - Dat wat meer is daerenboven deze Drossard, als genoegzaem met s'Graaffs soeverainityt bemagtigd zijnde, altijd de Gemeente-zaeken alleen volgens zijne willekeurge dispostitie en zelfs op eene despotische wijze heeft behandeld en geregeerd, als onder anderen in 't af- en aenstellen der Regenten of Leden van de Municipalitijt, in 't beschikken van gemeents-zaeken, connexie hebbende met die van de Graaff enz. enz. (hier op volgde het verzoek om een anderen Drossard) en voegde hij er bij: het is een slegte knegt die niet eens zoekt meester te worden) ook is hun zaek behartigd door J. Sengers voorzeid. Zie den 11 passeerde (febr).<br><br>9 dito<br><br>Een Brief van d'Heer Drossard uijt <b>'s Bosch</b> per Expressen aen de Magistraet alhier aengekomen zo tot hun narigt als geruststelling, zijnde verders van inhoud als dat de zaeken wel stonden - als dat Kockx met de zijnen gisteren avond op dato 8 hunne belangens in een wijtloopig schrift hadden ingedient - dat besloten was twee Leden van 't Centraal aldaer zelfs hier na toe te komen om de zaeken te onderzoeken, zullende medebrengen een publicatie om verdere rustverstooringen te verhoeden, en dat er Copie van hun Adresse zal gegeven worden enz., waarop in naam van voorzeide Magistraet en teffens uyt verzoek van Lucia, welke ook een brief bekomen had, ik datelijk geantwoord heb.<br><br>dito<br><br>s'avonds de drie voorzeide Clubisten van<b> 's Bosch</b> t'huijs gekomen.<br>",'s Bosch,1795-02-11,Den Bosch,'s-Hertogenbosch,2747351.0,51.69917,5.30417,Netherlands,Megen,False
