,match_place,la,lo
ghendt,Ghent,51.05355,3.724503
ghendts,Ghent,51.05355,3.724503
ghent,Ghent,51.05355,3.724503
ghend,Ghent,51.05355,3.724503
gendt,Ghent,51.05355,3.724503
ghends,Ghent,51.05355,3.724503
ghente,Ghent,51.05355,3.724503
ghen,Ghent,51.05355,3.724503
gent,Ghent,51.05355,3.724503
genth,Ghent,51.05355,3.724503
gend,Ghent,51.05355,3.724503
gaendt,Ghent,51.05355,3.724503
gandt,Ghent,51.05355,3.724503
gand,Ghent,51.05355,3.724503
ghand,Ghent,51.05355,3.724503
antwerpen,Antwerpen,51.221248,4.399862
antwerpens,Antwerpen,51.221248,4.399862
antweerpen,Antwerpen,51.221248,4.399862
andtwerpen,Antwerpen,51.221248,4.399862
anwerpen,Antwerpen,51.221248,4.399862
antwerpe,Antwerpen,51.221248,4.399862
andtweerpen,Antwerpen,51.221248,4.399862
andtw erpen,Antwerpen,51.221248,4.399862
anwercpen,Antwerpen,51.221248,4.399862
antwerten,Antwerpen,51.221248,4.399862
antwerpse,Antwerpen,51.221248,4.399862
antverpen,Antwerpen,51.221248,4.399862
ant werpe,Antwerpen,51.221248,4.399862
andwerpen,Antwerpen,51.221248,4.399862
antwerp,Antwerpen,51.221248,4.399862
antwerpeners,Antwerpen,51.221248,4.399862
andtweerpens,Antwerpen,51.221248,4.399862
antwerps,Antwerpen,51.221248,4.399862
andweerpen,Antwerpen,51.221248,4.399862
andtweerpiaen,Antwerpen,51.221248,4.399862
andtweerpianen,Antwerpen,51.221248,4.399862
antwerpsch,Antwerpen,51.221248,4.399862
antwerpsche,Antwerpen,51.221248,4.399862
antwerpschen,Antwerpen,51.221248,4.399862
antwersche,Antwerpen,51.221248,4.399862
andtweerpschen,Antwerpen,51.221248,4.399862
anverpen,Antwerpen,51.221248,4.399862
anvercpen,Antwerpen,51.221248,4.399862
andworpen,Antwerpen,51.221248,4.399862
spaensche,Spanje,39.3260685,-4.8379791
spaenscher,Spanje,39.3260685,-4.8379791
spaenschen,Spanje,39.3260685,-4.8379791
spansche,Spanje,39.3260685,-4.8379791
