,all-location,Local,Adjective_people,Exclude,matched_location(corrected by hand)
1787_Gent_Anon_01,141,71,8,0,44
1790_Mech_Wijn,1200,459,83,8,562
1792_Brie_Klui_10,296,39,27,0,222
1792_Brie_Klui_11,147,38,30,1,63
1793_Bred_Ouko,197,58,44,2,80
1795_Maas_Anon,300,102,50,9,120
1795_Mege_Loef,231,45,0,2,159
1795_Zalt_Kist,232,91,1,0,122
1796_Antw_Aars,243,57,67,4,81
1796_Leeu_Buma,171,14,5,0,130
1796_Purm_Louw_04,692,107,15,1,539
1796_Purm_Louw_05,873,80,60,1,670
1797_Alkm_Anon,357,81,100,0,170
1797_Brst_Mori,124,3,2,7,104
1802_Brus_Anon,696,371,138,4,143
1802_Venl_Post,1235,633,6,4,504
1808_Gent_Quic,920,329,42,27,459
