,Total tagged locations,Geo-matched locations,No geo-match
1787_Gent_Anon_01,38,20,18
1790_Mech_Wijn,441,353,88
1792_Brie_Klui_10,109,101,8
1792_Brie_Klui_11,61,46,15
1793_Bred_Ouko,64,51,13
1795_Maas_Anon,121,95,26
1795_Mege_Loef,161,136,25
1795_Zalt_Kist,137,119,18
1796_Antw_Aars,98,63,35
1796_Leeu_Buma,145,123,22
1796_Purm_Louw_04,563,533,30
1796_Purm_Louw_05,725,663,62
1797_Alkm_Anon,163,157,6
1797_Brst_Mori,79,71,8
1802_Brus_Anon,175,133,42
1802_Venl_Post,499,411,88
1808_Gent_Quic,455,390,65
